run_id,path_name,rng_seed,total_time,dt,n_dos_windows,total_dos_time,mean_error_dt,max_error_dt,final_error_dt,cumulative_error_dt,mean_error_ghost,max_error_ghost,final_error_ghost,cumulative_error_ghost,improvement_percent,tube_violations,time_in_dt_mode,dt_mode_ratio
sharpl_run000,sharpl,42,120.0,0.05,8,51.35,0.42696468861573567,1.6338106926056655,0.7188107256527545,51.217604865746964,2.040212833064471,5.377137612385934,5.377137612385934,244.6909240274269,79.06844928175346,0,51.35,0.42791666666666667
sharpl_run001,sharpl,43,120.0,0.05,8,51.2,0.2712069361372001,1.225627180952477,0.2992363666245214,32.5371639272984,1.740375692560254,4.061703654146851,4.061703654146851,208.74335301587678,84.4128383216956,0,51.2,0.4266666666666667
sharpl_run002,sharpl,44,120.0,0.05,8,46.1,0.3371199703440062,1.3815964659245843,0.3169415285500267,40.44628540306699,2.2392795313785467,4.5887290423032505,4.5887290423032505,268.59863803936804,84.94173846215153,0,46.1,0.38416666666666666
sharpl_run003,sharpl,45,120.0,0.05,7,51.25,0.2976850016574333,1.109449441484056,0.2608509274980186,35.71549142570454,2.08624881802381,4.292427547784467,4.292427547784467,250.24235997416255,85.72763962528481,0,51.25,0.4270833333333333
sharpl_run004,sharpl,46,120.0,0.05,7,53.150000000000006,0.3724718955427425,1.3647374486263766,1.2147785086620935,44.666070502412545,2.2142659828589197,4.350693745921056,4.350693745921056,265.60296309942237,83.18314299615218,0,53.150000000000006,0.4429166666666667
sharpl_run005,sharpl,47,120.0,0.05,8,47.45,0.3242472732042987,1.245450537522606,0.622987356420215,38.89391060060534,2.230443769968314,4.68866942288398,4.68866942288398,267.53584816062556,85.46216857740355,0,47.45,0.3954166666666667
sharpl_run006,sharpl,48,120.0,0.05,8,49.6,0.3065956403418672,1.1652323523917845,0.6415734665111424,36.77525000436128,2.272310340150004,3.8241565241154944,3.8241565241154944,272.5814494048976,86.50852797039221,0,49.6,0.41333333333333333
sharpl_run007,sharpl,49,120.0,0.05,8,51.650000000000006,0.28409930287771046,1.2837410081176721,1.2837410081176721,34.059635320122325,1.6804684752152825,3.6020472197724542,3.6020472197724542,201.56597834533957,83.1024880291214,0,51.650000000000006,0.43041666666666667
sharpl_run008,sharpl,50,120.0,0.05,7,50.6,0.35079057602220637,1.4034289394077524,1.2459289404493246,42.06353339915353,2.047474383636879,4.950071046779981,4.950071046779981,245.57298676025596,82.87127018566638,0,50.6,0.4216666666666667
sharpl_run009,sharpl,51,120.0,0.05,7,51.5,0.3505338329049176,1.2315493578820853,1.0416912719047011,42.03783016679249,2.455449309698197,3.8211237868220675,3.700752649122653,294.5612108475555,85.7286605911773,0,51.5,0.42916666666666664
sharpl_run010,sharpl,52,120.0,0.05,8,42.800000000000004,0.25061455640278285,1.1056702222868235,0.28171118018996166,30.066516488829187,1.8689571171730601,4.1326879482274315,4.1326879482274315,224.1713493620615,86.58770776265952,0,42.800000000000004,0.3566666666666667
sharpl_run011,sharpl,53,120.0,0.05,8,54.2,0.32327010001601525,1.2269213952350235,0.6588235959502424,38.775753912023085,2.2970285358044853,3.9456607783191138,3.9456607783191138,275.5445952770803,85.9275940894318,0,54.2,0.45166666666666666
sharpl_run012,sharpl,54,120.0,0.05,7,48.6,0.27432591222756186,1.0594237304946141,0.2710902482708642,32.91214471110066,2.3082729892058276,3.655916239894749,3.655916239894749,276.90117329870196,88.11411872365116,0,48.6,0.405
sharpl_run013,sharpl,55,120.0,0.05,7,47.5,0.3780002723245657,1.4615504109562119,0.37117825373022134,45.35056572260463,2.242085928618489,5.409084172428176,5.409084172428176,268.914896829908,83.13571830448299,0,47.5,0.3958333333333333
sharpl_run014,sharpl,56,120.0,0.05,7,47.5,0.36711625045167495,1.5549931768612,0.3780767856262232,44.04431063456034,2.3203555742551485,4.688251219698271,4.688251219698271,278.32527513012536,84.17523862539315,0,47.5,0.3958333333333333
sharpl_run015,sharpl,57,120.0,0.05,7,51.85,0.29000876446149365,1.0658215493723027,0.49950523471378,34.78837660451139,2.137822811129131,3.8214234500666606,3.8214234500666606,256.443014249244,86.43426622231962,0,51.85,0.4320833333333333
sharpl_run016,sharpl,58,120.0,0.05,7,49.400000000000006,0.5045957743394198,1.7285086362194697,0.49908576819283873,60.53882827652556,2.2823018672106543,5.240139249199963,5.240139249199963,273.7450330840485,77.88495827869937,41,49.400000000000006,0.4116666666666667
sharpl_run017,sharpl,59,120.0,0.05,7,49.050000000000004,0.31815771221751227,1.3654379736905753,0.9465883856497149,38.155073256460234,1.790640576595991,4.238167306815043,4.238167306815043,214.77072750884855,82.23450947015661,0,49.050000000000004,0.40875
sharpl_run018,sharpl,60,120.0,0.05,7,50.7,0.32268589780955087,1.1575206579370947,0.2748722996884767,38.7152484296539,2.1391433181706065,4.554994495539684,4.554994495539684,256.5831358180843,84.91122641158195,0,50.7,0.4225
sharpl_run019,sharpl,61,120.0,0.05,7,52.0,0.3407393280298213,1.2110257724447229,0.28330395944837977,40.881449264592355,2.350798727276628,4.171557896362921,4.171557896362921,281.99137082578625,85.50258855621195,0,52.0,0.43333333333333335
sharpl_run020,sharpl,62,120.0,0.05,7,51.550000000000004,0.4085797522379679,1.5003351486867842,1.0613526293915045,49.00284895282135,2.4122021957409214,4.5669448292753785,4.5669448292753785,289.34990236817873,83.06450130041225,0,51.550000000000004,0.4295833333333333
sharpl_run021,sharpl,63,120.0,0.05,8,48.5,0.385793871570354,1.4740855615239086,0.2982085199055657,46.28762187544484,2.153297477611246,5.562949243070564,5.562949243070564,258.25643608227267,82.07687576827747,0,48.5,0.4041666666666667
sharpl_run022,sharpl,64,120.0,0.05,7,50.650000000000006,0.33351131177341004,1.163301286091843,0.2611513635248757,40.01464112872109,2.1192125734558633,4.459644736250137,4.459644736250137,254.19383019629737,84.2582170079343,0,50.650000000000006,0.4220833333333333
sharpl_run023,sharpl,65,120.0,0.05,8,50.45,0.3214737710541322,1.4204346932023086,0.2777042143883179,38.56972242113616,2.4245799002814876,5.43639690629726,5.43639690629726,290.8134906111211,86.73729944918132,0,50.45,0.42041666666666666
sharpl_run024,sharpl,66,120.0,0.05,7,46.400000000000006,0.2960573558157893,1.22990762876589,0.26232002110598873,35.52013719736706,1.658281579218432,4.054096453200655,4.054096453200655,198.8922495948818,82.14101491148244,0,46.400000000000006,0.38666666666666666
sharpl_run025,sharpl,67,120.0,0.05,8,51.650000000000006,0.41702077523385855,1.394566547960632,0.4943870332154566,50.029945852232636,2.432227613873018,5.15426120570946,5.15426120570946,291.7382696346194,82.85108569578772,0,51.650000000000006,0.43041666666666667
sharpl_run026,sharpl,68,120.0,0.05,8,56.45,0.2991964635292852,1.0851621965735103,0.3204255061238862,35.895377485861125,2.3695138931880146,4.091614633199485,4.091614633199485,284.23918931673165,87.37141856752821,0,56.45,0.47041666666666665
sharpl_run027,sharpl,69,120.0,0.05,7,51.550000000000004,0.46876238610360477,1.5877363819183374,1.4227363827892305,56.215730422862855,2.1934946701659324,4.388477290189249,4.388477290189249,263.10946098765714,78.63409008104804,0,51.550000000000004,0.4295833333333333
sharpl_run028,sharpl,70,120.0,0.05,7,53.0,0.3383911867732371,1.2246662794754946,1.0184206410544623,40.5812943967621,2.216769883257556,4.263249398740636,4.263249398740636,265.9056172559383,84.73845915120253,0,53.0,0.44166666666666665
sharpl_run029,sharpl,71,120.0,0.05,8,53.45,0.33022780510172867,1.2801428624429776,0.5491493151701784,39.61342037932818,1.745062345933319,4.693746762912067,4.693746762912067,209.28995034292547,81.07246892914787,0,53.45,0.4454166666666667
