rel_path,path,seed,samples,dt_est,time_in_dt,real_mean,real_rmse,real_p95,real_max,real_final,dos_mean,dos_rmse,dos_p95,dos_max,fdi_mean,fdi_rmse,fdi_p95,fdi_max
figure8\seed_130515898\log.csv,figure8,seed_130515898,2400,0.05,48.900000000000006,0.3929248516420744,0.6081137707718469,1.3619132305327897,1.7084381800640667,1.284570968511296,0.9661302918819217,1.3410418543883926,2.860635841698838,3.7543197130695356,0.4352376523045838,0.5382271282990759,0.9247057345382617,1.124882906906422
figure8\seed_132272237\log.csv,figure8,seed_132272237,2400,0.05,72.5,0.6443496956356886,0.9929246283876215,2.1194005030045657,2.466307950665976,1.2117985943363148,1.5783984579814994,1.9079613206740014,3.7257687579512555,4.598015237822439,1.0370102935532985,1.1759242779007066,2.0421786613232373,2.497410950660015
figure8\seed_165136855\log.csv,figure8,seed_165136855,2400,0.05,62.900000000000006,0.8436732156076772,1.357105911618592,2.8422156126895706,3.0681474782107876,2.908446778095288,1.6951610666671832,2.0583669362018036,4.292058739884318,4.454977971485452,0.505844751900197,0.6449061960244867,1.1040936633445535,1.3836434301539429
figure8\seed_169875223\log.csv,figure8,seed_169875223,2400,0.05,85.75,0.668577440903656,0.9983197293475237,2.0775445322908634,2.354583620697645,2.2549442534721424,1.6041182822242464,1.9411234731360008,4.1008000854344955,4.209926820823236,1.0774392215615956,1.303085752454414,2.0404989973921994,2.353031549967622
figure8\seed_172398123\log.csv,figure8,seed_172398123,2400,0.05,54.7,0.4989425959728706,0.7959207700245252,1.9047255720961385,2.2518326305877734,1.3032642790240012,1.8962668496338373,2.3035704797435006,4.4741680315296,5.352643488082994,0.8919259445068911,1.014811897869475,1.5149167045397796,1.6732206077807739
figure8\seed_181294867\log.csv,figure8,seed_181294867,2400,0.05,50.050000000000004,0.3744437700262015,0.5750994177076221,1.3227772616274895,1.663692272950188,1.663692272950188,0.8670885883450957,1.2533146399680954,2.7878831211333144,3.686768997024456,0.9155668469149745,1.003679453707102,1.6853287470221459,2.0396493045582282
figure8\seed_223525999\log.csv,figure8,seed_223525999,2400,0.05,54.75,0.3502103743590691,0.5833136589051574,1.50179514283513,1.845522226001222,1.2185226144676335,1.7704228934095538,2.001012697849825,3.5344647719917814,3.5344647719917814,0.6403285991072112,0.8783121235917044,2.1130909938465523,2.53795532234161
figure8\seed_248709580\log.csv,figure8,seed_248709580,2400,0.05,72.60000000000001,0.7245275886257292,1.1730509620390714,2.6217729451774057,2.9684479434427358,1.8863507109433553,1.7902378966371744,2.041758200255064,3.5906781909736916,4.408113857186978,1.5590758020977182,1.654935035618655,2.3187174082854884,2.5399011222724104
figure8\seed_260957515\log.csv,figure8,seed_260957515,2400,0.05,55.150000000000006,0.43362707456871663,0.6846612940772252,1.602000879383918,1.94949712388852,0.26674919044901146,2.0762184159985932,2.380399554430082,4.124158957659755,4.12421184272954,0.796703233004655,0.9765822069167355,1.5212153552615417,1.8091180520208408
figure8\seed_341728468\log.csv,figure8,seed_341728468,2400,0.05,45.900000000000006,0.3322609649331527,0.5192982127764689,1.2461077089781387,1.5307310896307313,0.266151849706366,1.5871622939663235,1.9696489393556806,4.065031415703096,4.065306944202306,0.38505049517193035,0.4837898904022671,0.9319586960612916,1.1681715217716429
figure8\seed_352063526\log.csv,figure8,seed_352063526,2400,0.05,75.85000000000001,0.9503283747782505,1.376043162719092,2.698261675631147,2.973878691361159,2.7242653512992074,1.079615031917065,1.2863259866298737,2.5073889378487317,2.76023290091521,0.8972367044786808,1.078792484212926,1.7074375539835545,1.9504525648218636
figure8\seed_369551553\log.csv,figure8,seed_369551553,2400,0.05,76.2,0.9570228948585044,1.5258395011340415,3.161042348896782,3.5011857129532,2.5164928854113464,1.2985028660511495,1.5068138961328215,2.5459890299511083,3.397390496631781,1.4758790082957263,1.611466540396183,2.3113721618589804,2.557684324170061
figure8\seed_423151795\log.csv,figure8,seed_423151795,2400,0.05,81.0,1.3157571998513868,1.947908271282321,3.9218772655162804,4.2681334071212795,3.0585202665078253,1.3174493348084033,1.5552272448023836,3.1303370036713467,4.014147435384414,1.389661523228957,1.548267069077159,2.4142079040661826,2.6859554629753526
figure8\seed_423953692\log.csv,figure8,seed_423953692,2400,0.05,66.0,0.4711601657366898,0.6847660459476527,1.4036575976572832,1.848448173612967,0.9152798793475886,2.7296275830105756,3.2792843455810434,6.238919212998631,7.13802468578477,1.14931722714237,1.2716348954091476,1.8007589645927533,2.184329630040188
figure8\seed_438165226\log.csv,figure8,seed_438165226,2400,0.05,74.05,0.6569396285734974,0.9829022720847942,2.032840843927465,2.3832771605017893,1.9845907443083728,1.5311378693479696,1.7292755533167716,3.140262604562035,3.140262604562035,0.38327759793627836,0.4620068701150557,0.9064824494555815,1.286813660210916
figure8\seed_444353331\log.csv,figure8,seed_444353331,2400,0.05,62.85,0.7936147027821346,1.1874823920962192,2.4052599481854315,2.9701961742970155,2.9701961742970155,0.9669000337057596,1.447642111162255,3.401154817365311,3.401154817365311,0.847135978925135,1.0480039283175173,1.8532780289278437,2.3886689209697223
figure8\seed_463530476\log.csv,figure8,seed_463530476,2400,0.05,67.15,0.5265700270646293,0.8366521606741867,1.8803128893324381,2.285914543385593,1.6109649717192882,2.0940704334244455,2.633122952289871,4.81313815348343,5.711793715414501,1.3598128021867548,1.4857800016056029,2.151566491324275,2.390551789138207
figure8\seed_492089786\log.csv,figure8,seed_492089786,2400,0.05,75.75,1.0313526435985483,1.5167816060654828,2.870990345091457,3.0659959757034327,2.5996186805886983,1.4321757557464785,2.1506331866625894,4.737558838585918,5.17254188908541,1.1678796740120332,1.371503170617958,2.1393520228669907,2.4166240532256578
figure8\seed_525367680\log.csv,figure8,seed_525367680,2400,0.05,38.85,0.3632853575333674,0.5899321529314561,1.4268055786378915,1.6855472669485998,0.2748140904760963,0.8987301328060594,1.272779539158659,2.798066722507042,2.7980788362688944,0.30625429035332574,0.41012354472938295,0.7744664676398564,0.8619408527645901
figure8\seed_555253264\log.csv,figure8,seed_555253264,2400,0.05,56.95,0.6509809905830641,0.9737821523592382,2.01052258637095,2.345885240794802,0.3020848490809926,1.7081122520192715,2.4936069709542923,5.764955174699843,6.488760445032316,1.0424362877836972,1.157311408292748,1.7113796471312148,2.1525811691187147
figure8\seed_602803946\log.csv,figure8,seed_602803946,2400,0.05,76.7,0.749919864718329,1.0986982157722314,2.066645751148531,2.6002554788774255,2.6002554788774255,1.6944381665104973,2.234784489622152,5.07046379282086,5.07046379282086,1.038274052328305,1.1464781042452272,1.7231701289041073,2.088129504776831
figure8\seed_639316533\log.csv,figure8,seed_639316533,2400,0.05,73.4,0.653036128141335,0.9400896490012153,1.7498401855695438,2.044413630265477,1.2332986813486886,2.383144759827333,2.9078544338932044,5.439634792031705,6.096646138856733,1.6752806178552506,1.8428881527587024,2.5984785331561766,2.912902784470182
figure8\seed_654648579\log.csv,figure8,seed_654648579,2400,0.05,59.400000000000006,0.48388151303632837,0.7436814026095283,1.591658650597047,1.910507719842815,1.5539258779653837,1.6869765535076355,2.027906676313994,3.792150644674338,3.8670740046419003,1.3066054996648933,1.3709768956624948,1.7611366761662273,2.0264642262669397
figure8\seed_65665921\log.csv,figure8,seed_65665921,2400,0.05,46.5,0.2461372388568477,0.4007321376476508,1.0769801874664122,1.5269677318962809,0.26171505975900383,1.3597202815038265,1.492903883919723,2.194151137631662,2.19422697615751,0.4042081204347612,0.4906701842499744,1.0089760159403134,1.4081381556733052
figure8\seed_742158023\log.csv,figure8,seed_742158023,2400,0.05,62.0,0.5904372980181545,0.9524720103754433,2.158578978077133,2.505671600175319,1.8735716627771324,1.672788553438112,2.0189727447437793,3.602573346372459,4.229843946045627,0.5631962512200371,0.6281372223343211,0.9833103323967672,1.0196736718133463
figure8\seed_87373493\log.csv,figure8,seed_87373493,2400,0.05,80.5,1.2234929802132266,1.803958609449935,3.308596022704276,3.5971850134690855,3.3805003727519667,2.030067066609688,2.6392911747365795,5.390585778932803,6.284914461904109,0.6394945933353491,0.7238889016459171,1.345964689066442,1.4361370931815798
figure8\seed_906691059\log.csv,figure8,seed_906691059,2400,0.05,65.60000000000001,0.8327766383820727,1.3275824663655076,2.715120795400935,3.0191647548905416,2.6896067500784877,1.8329661519874223,2.3443715626575625,4.525435133177443,4.594019854646882,0.7679790871378316,0.8468474423866114,1.279574859337058,1.418966209275544
figure8\seed_912076881\log.csv,figure8,seed_912076881,2400,0.05,67.10000000000001,0.5958162775111044,0.900715970291297,1.8023449342553288,2.042630647766883,1.9055037694023655,0.824653153718354,1.1167310550248215,2.4794189252162426,2.926797564717583,0.7868758485537218,0.8593475370572677,1.3523629949182603,1.8760603618190823
figure8\seed_967723062\log.csv,figure8,seed_967723062,2400,0.05,74.3,0.8981988390334025,1.3979708836060558,2.8145743837381554,3.156738645565964,2.734556990972557,1.503776337661244,1.787076726908291,3.3381630567401492,4.1877304443036065,0.6236239575788889,0.7775901383000297,1.5002535838532638,1.9717487936493545
figure8\seed_992702177\log.csv,figure8,seed_992702177,2400,0.05,51.050000000000004,0.4041256594109394,0.6190769452435803,1.3740418551023896,1.6441689681839775,0.5423425201604722,1.1795493961124897,1.6902382870105017,4.0517208478446305,4.9432108260601435,0.7160502748577827,0.7820703022108685,1.2453609112481703,1.3703929944745912
sCurve\seed_100837786\log.csv,sCurve,seed_100837786,2400,0.05,65.5,0.33588268423382356,0.4172980521212031,0.7393404631406655,0.8487022232158147,0.26973740563072185,1.8969627273982679,2.600890112140559,4.719663953599809,5.102669326759052,1.719480611831124,1.815379386589093,2.310425579646763,2.581902020816874
sCurve\seed_166958958\log.csv,sCurve,seed_166958958,2400,0.05,72.85000000000001,0.39907968316517817,0.5167052512130362,0.9792328701274725,1.1494818557452808,0.3202490589433652,1.965511449963122,2.3622348180714483,4.233989024634577,4.488733154819893,1.6507437956706212,1.8099302192597273,2.389330269347622,2.6579840687326586
sCurve\seed_198226646\log.csv,sCurve,seed_198226646,2400,0.05,46.5,0.29959176613386734,0.4033903276973118,0.8885502324251987,1.0721384580987317,0.27189951615543245,0.5538575362128756,0.7260008814766831,1.8677648937080467,1.8868681982876911,1.2911265096262665,1.3661452488566388,1.93038274365488,2.3792339651891403
sCurve\seed_215815017\log.csv,sCurve,seed_215815017,2400,0.05,59.45,0.23093469644375544,0.28242633515207566,0.49135611026141834,0.5639155051860083,0.5593828804377348,1.8212870302580928,2.245647563257819,4.0390490413830955,4.751810497835771,0.6540451877741437,0.7602006358554549,1.3382882714650484,1.6985728977445052
sCurve\seed_246187039\log.csv,sCurve,seed_246187039,2400,0.05,47.45,0.22021090787736966,0.26809739237064867,0.4953040011770817,0.6333981524334166,0.5528147656854855,0.7626936273153323,0.8616447978931959,1.492854171275513,1.492854171275513,0.7596999665183691,0.8053479261724731,1.1994193115508955,1.5072838132559394
sCurve\seed_257626892\log.csv,sCurve,seed_257626892,2400,0.05,61.35,0.2490930801692186,0.3024319464364773,0.5195605430195885,0.6328408546721959,0.2633880584922763,0.7581442495804736,0.8380698466237603,1.304996998785256,1.6512238353451163,0.6091907526067062,0.6945036515106146,1.2151731491478472,1.3397499383152067
sCurve\seed_268599738\log.csv,sCurve,seed_268599738,2400,0.05,58.900000000000006,0.26199714511768724,0.3171067500787755,0.570787400318982,0.6992653499832163,0.2703279510106858,1.6550217822100084,1.786645628618825,2.796187230706943,3.1606095969155166,1.3532508260278606,1.4732352424881037,1.7873034315820455,1.9112891395573284
sCurve\seed_344985479\log.csv,sCurve,seed_344985479,2400,0.05,67.25,0.8226821147474307,1.0628942069663403,1.9686210503876238,2.1506593325214602,1.0389057912941886,2.096658537918567,2.738253785937599,4.770210129817297,5.050171850628855,1.6765961248623702,1.771890382856379,2.3155784341652836,2.8097142743827535
sCurve\seed_353696727\log.csv,sCurve,seed_353696727,2400,0.05,58.800000000000004,0.3535360022210242,0.44882175683595155,0.8821452198547193,1.0341746250476331,0.2595783102118875,1.989852840280848,2.562647755959648,4.570664923079843,4.576277248090888,1.100498905994102,1.2053631525112465,1.72889102089084,2.0925281532268882
sCurve\seed_356951981\log.csv,sCurve,seed_356951981,2400,0.05,64.3,0.2359321931487835,0.2868803754144911,0.49855676935591176,0.5989819893751288,0.2657042619499184,1.253207816625457,1.4171538195558013,2.75056580762063,2.750921255099825,0.6016375655882965,0.6863545177298508,1.1473215717612089,1.2375851500682518
sCurve\seed_366025419\log.csv,sCurve,seed_366025419,2400,0.05,56.400000000000006,0.569047787513928,0.7282506528892969,1.380722415347661,1.4864262642289054,0.4030654135430848,2.386670760803076,3.236930935370674,6.044495882932548,6.364585113438355,0.9523903785143804,1.0616515707081586,1.333705941484528,1.6101098390684647
sCurve\seed_394898599\log.csv,sCurve,seed_394898599,2400,0.05,58.75,0.4049908733150087,0.5237268450740429,1.031849488155329,1.1314045032956463,0.3095970613762757,1.4651423236999184,2.0121080343972224,4.719995465565072,5.036250802793116,1.4409087812787669,1.5887655777786405,2.023122965107831,2.473211603782148
sCurve\seed_443240929\log.csv,sCurve,seed_443240929,2400,0.05,63.6,0.4512796835389701,0.5914164958012557,1.1442077141305322,1.3948593438412644,0.4143875497709717,2.391859515848579,3.08379126716917,5.778057741319719,5.782285085033471,1.7286216163391077,1.8425436617408282,2.46646550369071,2.976497497383148
sCurve\seed_491988464\log.csv,sCurve,seed_491988464,2400,0.05,55.35,0.255949012669068,0.3137778387208086,0.5716751496679633,0.709071468896357,0.2611934030272007,0.6012026386124483,0.8164335647290237,1.6592998853680274,1.665009990105237,0.9592135884022893,1.0016207964350343,1.361726322744015,1.4214868844335768
sCurve\seed_49398890\log.csv,sCurve,seed_49398890,2400,0.05,60.0,0.2282231157173032,0.27533658621599344,0.44856422880913044,0.5278677084094938,0.41793189158943816,1.4143234279583168,1.7282401503795959,3.324835474146961,3.751077896112049,0.7601302107899737,0.8505944192737422,1.3083357467613588,1.4712415481801238
sCurve\seed_522333016\log.csv,sCurve,seed_522333016,2400,0.05,65.3,0.24852813184609815,0.30181846902618714,0.5493845166179757,0.6686849174645944,0.6686849174645944,2.4056675038811877,2.6517988853000136,4.036562165591349,4.835685529051233,1.2084526218770286,1.3027432662370457,1.7896435096524772,2.0339303809982403
sCurve\seed_581615406\log.csv,sCurve,seed_581615406,2400,0.05,62.550000000000004,0.2953951523594842,0.36772483988375276,0.6893837564623095,0.7833351837638433,0.26359567628831243,1.9224365490690636,2.302249717108072,4.658103233784312,4.692115173976399,1.6348272493293072,1.7725411685274912,2.2310250948581833,2.5214447692626454
sCurve\seed_599032787\log.csv,sCurve,seed_599032787,2400,0.05,60.35,0.42323790554805774,0.5333333364184674,0.9445269351095884,1.1023927059990768,0.4614147989836329,1.440292636883107,2.028867482033307,4.335243787800611,5.129400553550129,0.7273468596972902,0.8291218740489268,1.2587002164591157,1.5791238612780387
sCurve\seed_615138292\log.csv,sCurve,seed_615138292,2400,0.05,63.1,0.30649777259975736,0.387718132598437,0.740526200212824,0.8634526846805153,0.26446193392069334,2.1708693572125792,2.740316323955,5.210584323787102,5.210600928033473,1.1698180291939781,1.2507212646782737,1.79645559078264,2.0966404220364754
sCurve\seed_617570136\log.csv,sCurve,seed_617570136,2400,0.05,70.55,0.8025644064053482,1.0498705976318636,1.9891263162377428,2.0903636929683116,0.6970816835286198,2.315948933929876,2.5438945560904505,4.268755553570359,4.842525169094516,0.6564728361515296,0.7615789574082392,1.3707893304222436,1.5436732971950304
sCurve\seed_702552413\log.csv,sCurve,seed_702552413,2400,0.05,71.55,0.6030419982218728,0.7867126699727851,1.419103270768276,1.602753560900454,1.0043196406296768,2.1527825934471823,2.7198387803740713,5.654540486132754,6.435158800786578,0.7543846010451244,0.8026508984450376,1.2011261406232374,1.2625996026490203
sCurve\seed_827837125\log.csv,sCurve,seed_827837125,2400,0.05,77.05000000000001,0.25088232474158506,0.29979995918845426,0.4927259113088867,0.5579747244602853,0.2668114000418039,2.5252285309077402,2.8062489106167066,4.3925305486800585,4.539104009367163,0.8982771463680996,0.9632987665540576,1.3335273848955382,1.442898712769093
sCurve\seed_830739707\log.csv,sCurve,seed_830739707,2400,0.05,54.5,0.22667879665549126,0.2706454892870194,0.43476873569814334,0.48760553058195577,0.37836128671376773,1.2029268599896008,1.4021414743521428,2.633899423898605,2.7275697793492335,0.49261077604909115,0.6566375237443629,1.346829560423487,1.543936038031604
sCurve\seed_853305227\log.csv,sCurve,seed_853305227,2400,0.05,63.0,0.6062204739376036,0.7991660486187521,1.5412713778487237,1.7627877609392735,1.7365393150094592,2.417670212322777,3.093930839571041,5.752724305468831,5.773050896709477,1.3432156162699465,1.4677238142804265,1.9415626815329527,2.4618131314779323
sCurve\seed_878041382\log.csv,sCurve,seed_878041382,2400,0.05,58.050000000000004,0.33908304576946074,0.4466203944551678,0.9352591922729406,1.1189514325452754,0.2646127001535835,2.566074032034531,2.9077625285249784,4.49445311024116,4.779733170886917,0.4844127107135311,0.6146610768415179,1.2328121134537184,1.458164242655401
sCurve\seed_888961527\log.csv,sCurve,seed_888961527,2400,0.05,66.4,0.5876859446877689,0.7572884658627876,1.3367207584258487,1.554915664704109,1.409151104743028,2.6344664057361187,3.245331367444313,5.861638586014081,6.423089353290722,1.5263375799514816,1.6122845068708556,2.124121954049355,2.6198898881908343
sCurve\seed_920699527\log.csv,sCurve,seed_920699527,2400,0.05,46.1,0.24862487498206473,0.30115600750477284,0.5466030801920413,0.6311298295413317,0.2606636303311793,1.0095383594224778,1.4543167234502705,3.203769054172693,3.210288982362751,1.573556107289808,1.7102078577957378,2.253155031517186,2.499532855066869
sCurve\seed_948173650\log.csv,sCurve,seed_948173650,2400,0.05,85.45,0.5094502079038998,0.6722614393029047,1.314833301013163,1.423567034576204,1.097575664195324,1.963376270046671,2.4684776910770787,4.804783402659911,5.116544295068451,0.6890455453718035,0.7305434407082924,1.0048553500367674,1.0571719616102992
sCurve\seed_957360799\log.csv,sCurve,seed_957360799,2400,0.05,38.6,0.20883816617283713,0.24840317645644872,0.4149979665135916,0.5066467694602492,0.2645341515146083,0.7351384214334189,1.0235879439400675,1.854489818777883,1.8544898841210389,0.6700366254127214,0.7682236804942375,1.4086152628878255,1.6103011909249463
sCurve\seed_994080146\log.csv,sCurve,seed_994080146,2400,0.05,74.0,0.7218920750696476,0.9156741798223816,1.6270988158474218,1.7508774242367124,0.49675524865545106,2.6098361305348785,3.3438646578863427,5.970453036560163,5.971656529104123,2.1103433709564547,2.247058893947193,2.8320766256856773,3.065337402613723
sharpL\seed_106026988\log.csv,sharpL,seed_106026988,2400,0.05,40.400000000000006,0.3567312747362247,0.47745500475485797,1.021117689939088,1.2053677474075517,0.319770067754374,2.6603877124940234,3.2298081200078617,5.62275506025992,5.623376086702041,0.25804002628623474,0.3225597527409471,0.5164021781680551,0.8176306349879956
sharpL\seed_1259196\log.csv,sharpL,seed_1259196,2400,0.05,72.95,0.719795165896559,1.0272574594103663,2.079030967110689,2.3715874085470965,0.6892062815834176,3.290477159638979,3.814710910601258,7.217302940230036,7.217302940230036,0.996253124363569,1.186394364231796,2.040787700470071,2.1062696854840715
sharpL\seed_141223823\log.csv,sharpL,seed_141223823,2400,0.05,51.6,0.4471557447288803,0.6494556944741529,1.4814727033564303,1.7840027506653693,0.3504589456884723,3.0886605890181626,3.7000940857780926,6.16086142931376,6.312774577512343,1.293077902588473,1.4731743605562173,2.428647001170529,2.5167088324700932
sharpL\seed_146945343\log.csv,sharpL,seed_146945343,2400,0.05,53.300000000000004,0.4874328124472729,0.6720133583863908,1.397113066671635,1.6048762948039126,0.495930306529774,3.2707278259414676,3.968646613200808,6.5502437152959905,7.432020872257049,2.575197172918718,2.868586085524986,3.8664715383768793,3.9030515897168323
sharpL\seed_148708215\log.csv,sharpL,seed_148708215,2400,0.05,58.7,0.35660412694040006,0.4980031131548305,1.1633880373120766,1.3235870663997744,0.31925263053736874,3.0045417934765815,3.34226414401871,4.890138129416145,4.896296997635874,1.1892175732049703,1.4923277927798062,2.6417252564029865,2.770424126574358
sharpL\seed_157394221\log.csv,sharpL,seed_157394221,2400,0.05,65.35000000000001,0.3928767444994694,0.5340990264708861,1.1528222967387394,1.372396577827413,1.179920075279584,3.4004112390869645,3.9941437286617147,6.424436137314407,7.308193052571304,1.5679388046665426,1.7151113307148294,2.9364724332100827,3.1895418484917255
sharpL\seed_190257413\log.csv,sharpL,seed_190257413,2400,0.05,53.6,0.46024884496132773,0.6200282479621732,1.262824829725449,1.487597797507074,0.4522314259786054,3.127356003045668,3.72920623072212,5.593577300596197,6.171542566258062,1.871933286626078,2.1158344698654825,3.0861153066059486,3.159362224944458
sharpL\seed_208654029\log.csv,sharpL,seed_208654029,2400,0.05,57.25,0.34168388967097363,0.4496994697437853,0.9696295770682986,1.1131099814851277,0.29804280992732873,3.2739667187674963,3.695035915597353,5.801718732767938,6.448339469773036,1.6061156386203896,1.7458677360844514,2.5735085278484373,2.7132208578491794
sharpL\seed_289151763\log.csv,sharpL,seed_289151763,2400,0.05,68.4,0.5203774320203302,0.694468735403946,1.3738704602759546,1.6351177164465838,1.4895848085291064,4.699652938375583,5.622330828830021,8.904827160603453,9.311383102100104,3.0206489638499505,3.246072909675739,4.265763298782076,4.709225103894604
sharpL\seed_40008312\log.csv,sharpL,seed_40008312,2400,0.05,72.55,0.45320847182641844,0.6240328947831362,1.2385414148489213,1.5692511610306108,1.5692511610306108,4.121789822931607,5.1498717707711466,7.802582724179822,7.802582724179822,2.8017071214494083,3.106663850461689,4.2153760618283025,4.59634278439833
sharpL\seed_406425411\log.csv,sharpL,seed_406425411,2400,0.05,62.2,0.31362124484136017,0.44715550103346713,1.074776168303163,1.4205284397059252,1.2438340340217087,3.9434499136154955,4.633433289063815,6.680092488110255,6.681366726302439,0.9265167374967113,1.090517475299447,1.8425305890328656,2.0751161786272903
sharpL\seed_47254919\log.csv,sharpL,seed_47254919,2400,0.05,63.550000000000004,0.39353407344631536,0.550883296315124,1.2479058048243015,1.4672359384040767,0.3390797538062553,4.968252758456408,5.994438097420419,9.01100772276949,9.0685498011926,0.6879281629122541,0.8302407254500218,1.6199104009113656,1.6945501519536803
sharpL\seed_503275508\log.csv,sharpL,seed_503275508,2400,0.05,44.150000000000006,0.2305215693735924,0.27374331083930886,0.5079704462980741,0.9548062682773049,0.2823846909275958,4.319219716443698,4.973553473234008,6.667720210454279,6.7273716112031225,2.305132956639764,2.5112945739582746,3.20357956620393,3.2481761119337955
sharpL\seed_517237545\log.csv,sharpL,seed_517237545,2400,0.05,36.85,0.27676814389355625,0.36551499688880934,0.874336665486271,1.0704088486616938,0.26113027133278527,2.2374745556287445,2.5102138700877847,4.134588300659041,4.134628235317463,1.2398717048271042,1.3535965266801533,2.2000516110492283,2.3494051940694005
sharpL\seed_572599815\log.csv,sharpL,seed_572599815,2400,0.05,75.55,0.4527914308778444,0.6868909807479331,1.6948338358752748,2.0908477046760865,1.951517482402299,4.503053458428644,5.2468830809661,7.062937562249366,7.188650892140923,1.841836988804401,1.9732267232719385,2.9109000819155693,3.0159543796286696
sharpL\seed_630452087\log.csv,sharpL,seed_630452087,2400,0.05,62.75,0.6027213455541715,0.8574354077437347,1.7869852216691178,2.261606115710493,2.261606115710493,3.409035227060156,4.147713350759562,6.988541883251056,7.882794516957263,2.1930961215250275,2.4421376344718935,3.392499045937868,3.5475426936738095
sharpL\seed_643307316\log.csv,sharpL,seed_643307316,2400,0.05,72.3,0.5264841352027452,0.7476718950477633,1.576223368169489,1.8144427850584928,1.4899852608383388,3.419880298075088,3.9239781355469643,6.247961430696148,6.5724815978677205,1.8266078032075113,2.1038371340747255,3.2862676275769718,3.4302058635801123
sharpL\seed_664648677\log.csv,sharpL,seed_664648677,2400,0.05,50.5,0.2654366445164345,0.36129519701139184,0.8466681004983522,1.1934623781682407,0.2599701666794561,2.2789580402011826,2.669218480074706,4.716172176810161,4.716239360940335,0.5139127114922836,0.5836170958587343,0.8451482525065955,0.9585300442656229
sharpL\seed_667181712\log.csv,sharpL,seed_667181712,2400,0.05,63.050000000000004,0.7397103209737562,1.076479081613212,2.2606961204674088,2.545797674373026,1.8293049053759676,4.2853659557089285,5.008562459456505,7.649856465681083,8.490771472648433,2.1647121654863772,2.299074443407627,2.9506965235097473,3.2033198104181437
sharpL\seed_6898620\log.csv,sharpL,seed_6898620,2400,0.05,64.0,0.4432767130087915,0.6047956354350007,1.245229056729975,1.427400263562874,0.4011230708179928,3.341801980850217,3.7877654100733986,5.776604333449818,6.398620178014941,2.5487225579208914,2.9014497929377003,4.022633617725729,4.455575623653412
sharpL\seed_695401319\log.csv,sharpL,seed_695401319,2400,0.05,66.8,0.47578965040897003,0.6351984355462221,1.278143724991268,1.4159916667705623,1.2332519412230385,3.139099430263371,3.7559356314568015,6.9429709267308874,7.743732174429313,1.9789756847058197,2.126029227280567,2.9941242880548407,3.1739922675428156
sharpL\seed_707436356\log.csv,sharpL,seed_707436356,2400,0.05,82.35000000000001,0.4749976133695183,0.6589879535386485,1.385952685163874,1.701132755722495,1.0039717496792901,4.539263345034265,5.201977620348935,7.760561679940429,7.86815542087437,3.123625912995846,3.5427243084925917,4.846578396185718,5.28452583583683
sharpL\seed_754535109\log.csv,sharpL,seed_754535109,2400,0.05,54.900000000000006,0.34719636444167484,0.4671555806957924,1.0182023632801034,1.3685073110155275,0.2601138272361083,3.151232509168953,3.7151460980268087,6.367846878571723,6.3738754962989175,1.6644039787981724,1.8143337403805315,2.6377844231597103,2.717415173968962
sharpL\seed_79403921\log.csv,sharpL,seed_79403921,2400,0.05,44.650000000000006,0.3186074061504283,0.4316821598167284,0.9745931883917544,1.2187496290942312,0.2900084506260291,2.102692472283671,2.4695802293571583,4.001579610508652,4.562442863421492,0.41109599697638755,0.5197118762822606,1.1461803023880888,1.3237958430731105
sharpL\seed_835323845\log.csv,sharpL,seed_835323845,2400,0.05,49.150000000000006,0.3559599051379504,0.5356557745341933,1.399987264459611,1.7041794527647662,0.3198986957477255,2.6917991057551984,3.156616150576457,5.139270838018131,5.139878917659795,2.654730913669241,2.84537185214594,3.8261142999542916,3.9173304155846047
sharpL\seed_881291010\log.csv,sharpL,seed_881291010,2400,0.05,80.25,0.5515290408730444,0.8199048468765622,1.7784240878110804,1.9761475667128796,1.6540513638647023,4.812236224116075,5.849983482795574,9.053407406521002,9.053407406521002,3.169551842093241,3.4391996226261963,4.657295313040829,4.724935809505295
sharpL\seed_907655629\log.csv,sharpL,seed_907655629,2400,0.05,72.60000000000001,0.6939200419755168,0.9520623357560414,1.7780270604033603,1.9937231593360285,1.0239677843865527,2.844868381277953,3.12160659322368,4.532373309655928,5.326954796893739,2.3785462787042446,2.692912720145755,3.703927255194622,3.9914903347316026
sharpL\seed_911684715\log.csv,sharpL,seed_911684715,2400,0.05,80.25,0.6401566796465925,0.9132365954405252,1.9336377986558007,2.166792181223175,2.166792181223175,3.3715627261633276,3.7963685437993693,5.412304286405027,5.446179868603936,2.9570299126858983,3.130968750993278,3.8911447743611847,4.158033679322741
sharpL\seed_966405851\log.csv,sharpL,seed_966405851,2400,0.05,43.45,0.34128373307938453,0.46213832492696544,1.0084140350545738,1.1858276278484319,0.2745305286217554,4.799211622755352,5.665048444785702,7.5507882191219045,7.5507882191219045,1.9354427876575984,2.1547308107380303,3.0193047934762762,3.072121631664007
sharpL\seed_993476615\log.csv,sharpL,seed_993476615,2400,0.05,74.4,1.024679812903045,1.5591155273646635,3.190535343260825,3.4511385509181665,2.4744009158016165,2.7641707885343174,3.1711763947498124,4.519094140896861,5.269192674644395,2.494613389330694,2.6484484957493666,3.3915780458991316,3.6867562472219637
